seq_num,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
3915,-0.054656,0.017080,1.021384,-0.280000,0.420000,1.540000
3916,-0.057584,0.020008,1.024800,0.350000,-1.610000,2.030000
3917,-0.058560,0.018056,1.028216,0.910000,-2.520000,1.960000
3918,-0.060512,0.024400,1.037488,0.840000,-2.520000,1.260000
3919,-0.062464,0.026840,1.038464,1.890000,-3.360000,2.310000
3920,-0.065392,0.020496,1.037976,2.730000,-3.640000,1.680000
3921,-0.053192,0.012200,1.021384,2.380000,-1.260000,0.490000
3922,-0.055144,0.014152,1.023824,1.190000,-1.260000,-0.210000
3923,-0.052704,0.024888,1.028704,0.840000,0.000000,-0.700000
3924,-0.049288,0.022448,1.024800,-0.350000,1.120000,-2.030000
3925,-0.049776,0.028304,1.025776,0.350000,-0.420000,0.210000
3926,-0.047824,0.025864,1.026264,-0.210000,-0.210000,-0.490000
3927,-0.068320,0.016104,1.031144,0.210000,-1.820000,-1.540000
3928,-0.063928,0.019520,1.033584,1.960000,-1.680000,-2.310000
3929,-0.067832,0.005368,1.034072,2.380000,-0.700000,-2.100000
3930,-0.067344,0.003904,1.027728,1.820000,-0.770000,-1.470000
3931,-0.065392,0.006832,1.030656,2.520000,-0.560000,-0.560000
3932,-0.063928,0.009760,1.036512,1.260000,0.420000,-0.700000
3933,-0.066368,0.002928,1.025776,-17.639999,3.920000,-4.480000
3934,-0.054656,0.010736,1.027240,-0.840000,3.290000,-2.730000
3935,-0.048800,0.020496,1.029192,0.070000,2.520000,-2.450000
3936,-0.059048,0.028304,1.045296,3.920000,-2.310000,1.050000
3937,-0.062952,0.038552,1.050664,12.040000,-6.160000,7.350000
3938,-0.071736,0.023424,1.043344,16.520000,-7.560000,9.520000
3939,-0.048800,0.061488,1.044808,25.549999,-14.350000,24.570000
3940,-0.040016,0.081008,1.011624,36.959999,-21.980000,28.840000
3941,-0.001464,0.087840,0.952576,34.230000,-34.650002,43.610001
3942,-0.039528,0.084912,0.856440,-29.120001,-36.610001,38.639999
3943,-0.284992,-0.203008,0.402600,-277.410004,34.020000,23.240000
3944,-0.193736,-0.217648,0.399672,-394.380005,165.619995,40.669998
3945,-0.005368,0.017080,0.009272,-476.630005,242.130005,67.269997
3946,0.007320,0.038064,0.007808,-477.329987,240.520004,70.489998
3947,0.009272,0.035624,0.005368,-478.380005,237.089996,76.160004
3949,0.005368,0.037088,0.010248,-479.989990,226.660004,84.769997
3950,0.004392,0.034648,0.012200,-480.130005,219.100006,91.070000
3951,0.004392,0.036600,0.009760,-480.130005,216.300003,93.029999
3952,0.002440,0.036600,0.010736,-480.130005,210.490005,98.000000
3953,0.002928,0.034648,0.012688,-480.200012,204.330002,101.849998
3954,0.001952,0.034160,0.012688,-480.480011,194.809998,106.190002
3955,-0.001464,0.033184,0.012688,-480.829987,188.020004,109.620003
3956,-0.005368,0.031720,0.011224,-481.040009,182.699997,112.000000
3957,-0.004880,0.029280,0.012200,-481.600006,177.240005,115.010002
3958,-0.005856,0.030256,0.010248,-482.579987,170.029999,117.879997
3959,-0.003904,0.032208,0.007320,-485.519989,159.600006,121.379997
3960,-0.005856,0.033184,0.006832,-486.709991,156.240005,123.410004
3961,-0.006344,0.032208,0.006832,-489.790009,149.940002,126.000000
3962,-0.006344,0.034160,0.001464,-494.690002,143.570007,128.589996
3963,-0.007320,0.032696,-0.001464,-497.980011,140.279999,130.759995
3964,-0.009760,0.034160,-0.005368,-502.250000,135.380005,134.119995
3965,-0.009760,0.032208,-0.011712,-505.959991,132.649994,135.240005
3966,-0.013176,0.031720,-0.016104,-509.320007,129.639999,137.619995
3967,-0.014640,0.034160,-0.023424,-514.849976,125.510002,141.259995
3970,-0.017080,0.042944,-0.035624,-526.960022,120.889999,149.380005
3971,-0.016104,0.047336,-0.038064,-529.690002,121.029999,152.460007
3972,-0.015616,0.048312,-0.041968,-531.299988,121.660004,153.929993
3973,-0.015128,0.051728,-0.044896,-531.789978,122.779999,158.759995
3974,-0.017080,0.052216,-0.051728,-530.530029,124.110001,161.490005
3975,-0.016104,0.054656,-0.055632,-525.979980,126.419998,164.149994
3976,-0.013664,0.052216,-0.062464,-521.289978,128.240005,168.070007
3977,-0.012688,0.047824,-0.069296,-512.400024,130.479996,169.399994
3978,-0.015128,0.048312,-0.072224,-500.640015,133.559998,172.130005
3979,-0.015616,0.050264,-0.079544,-486.359985,135.660004,175.139999
3980,-0.013176,0.049776,-11.794960,875.000000,1121.819946,102.480003
3981,-15.357360,15.954184,-15.978096,2292.780029,2266.810059,239.119995
3982,4.000624,-2.781112,-12.218056,607.669983,497.700012,18.340000
3983,1.182912,-1.133136,-1.690920,14.560000,167.789993,32.970001
3985,-0.009760,-0.001464,0.036600,21.420000,160.440002,33.810001
3986,-0.011712,-0.000488,0.024888,18.900000,158.550003,33.529999
3987,-0.009760,-0.002440,0.022936,18.410000,158.130005,33.320000
3988,-0.010736,-0.001952,0.020984,17.290001,157.149994,33.110001
3989,-0.009272,-0.003904,0.020984,16.100000,156.869995,33.040001
3990,-0.008296,-0.003904,0.020496,15.120000,156.520004,32.759998
3991,-0.011224,-0.002440,0.018056,14.350000,156.309998,32.549999
3992,-0.009272,-0.002440,0.019520,13.580000,156.029999,32.270000
3993,-0.009272,-0.002928,0.019032,13.230000,155.889999,32.060001
3994,-0.008784,-0.001952,0.016592,12.880000,155.399994,31.920000
3995,-0.007808,-0.001464,0.016592,12.530000,154.839996,31.850000
3996,-0.007320,-0.001952,0.017568,12.320000,154.350006,31.920000
3997,-0.003416,-0.006344,0.007320,13.300000,143.639999,36.470001
3999,2.383880,-0.276696,-4.126528,-82.040001,-1414.910034,-207.199997
4001,0.012688,-0.143472,-0.179584,10.010000,340.339996,-9.100000
4003,0.360144,-0.015128,-0.719800,-14.840000,-43.119999,-26.670000
4005,0.160064,-0.002928,-0.980880,10.990000,-17.639999,-0.980000
4006,0.043432,-0.083448,-1.005768,-8.960000,12.880000,-0.070000
4007,0.137128,-0.030744,-0.993568,-1.960000,-5.180000,-0.490000
4008,0.081984,-0.064904,-0.953552,-0.140000,-4.060000,-0.420000
4009,0.112240,-0.036600,-0.984784,3.360000,-5.600000,-0.420000
4010,0.107848,-0.050264,-0.953552,1.540000,-6.650000,-0.490000
4011,0.094184,-0.039528,-0.989664,-1.120000,2.310000,-0.280000
4012,0.118096,-0.048312,-0.972096,0.210000,-5.180000,-0.490000
