seq_num,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
5334,-0.005856,-0.007320,1.028704,0.140000,-2.030000,-0.280000
5335,-0.005856,-0.006832,1.028704,0.070000,-2.030000,-0.350000
5336,-0.006832,-0.007808,1.027240,0.140000,-2.030000,-0.490000
5337,-0.008784,-0.006344,1.028216,0.140000,-2.100000,-0.350000
5338,-0.006344,-0.006832,1.028216,0.140000,-1.960000,-0.350000
5339,-0.005368,-0.006344,1.027240,0.210000,-1.960000,-0.420000
5340,-0.006832,-0.006344,1.026264,0.070000,-1.960000,-0.280000
5341,-0.006344,-0.005368,1.030168,0.140000,-1.960000,-0.420000
5342,-0.003904,-0.007808,1.028704,0.140000,-1.960000,-0.350000
5343,-0.006832,-0.005368,1.028704,0.140000,-1.890000,-0.350000
5344,-0.005856,-0.005856,1.027240,0.140000,-1.890000,-0.420000
5345,-0.005856,-0.006344,1.025288,0.140000,-2.030000,-0.350000
5346,-0.006344,-0.008296,1.026264,0.070000,-1.960000,-0.280000
5347,-0.005856,-0.009760,1.026264,0.070000,-1.960000,-0.420000
5348,-0.005368,-0.010248,1.027728,0.070000,-2.030000,-0.420000
5349,-0.002928,-0.011712,1.029192,0.070000,-2.030000,-0.420000
5350,-0.002928,-0.009760,1.028704,0.070000,-1.960000,-0.560000
5351,-0.003416,-0.008296,1.029192,0.000000,-2.030000,-0.560000
5352,-0.004880,-0.009272,1.029192,-0.070000,-1.960000,-0.490000
5353,-0.005856,-0.007808,1.029192,0.000000,-1.960000,-0.490000
5354,-0.005368,-0.004880,1.029680,0.000000,-1.960000,-0.490000
5355,-0.007808,-0.004880,1.032608,0.140000,-1.960000,-0.490000
5356,-0.009272,-0.000976,1.028704,0.140000,-2.030000,-0.350000
5357,-0.009760,-0.000976,1.030656,0.140000,-2.030000,-0.280000
5358,-0.013176,-0.001952,1.028704,0.210000,-2.030000,-0.280000
5359,-0.011712,-0.002928,1.028704,0.070000,-1.960000,-0.210000
5360,-0.008296,-0.005368,1.026752,0.070000,-1.960000,-0.140000
5364,-0.124440,-0.008784,1.027728,0.210000,-1.960000,-0.420000
5365,-0.002928,-0.007808,1.027240,0.210000,-2.030000,-0.350000
5366,-0.003416,-0.008296,1.027240,0.140000,-1.960000,-0.350000
5367,-0.005368,-0.005368,1.027240,0.210000,-1.960000,-0.350000
5368,-0.009760,-0.004880,1.027728,0.280000,-1.960000,-0.420000
5369,-0.011224,-0.004880,1.028216,0.280000,-1.960000,-0.280000
5370,-0.007808,-0.004880,1.026752,0.210000,-1.890000,-0.210000
5372,-0.006344,-0.005368,1.029680,0.210000,-2.030000,-0.140000
5375,-0.003904,-0.007808,1.028704,0.140000,-1.960000,-0.140000
5376,-0.003416,-0.008296,1.028704,0.210000,-1.960000,-0.350000
5380,-0.002928,-0.007320,1.029192,0.210000,-2.030000,-0.350000
5382,-0.004880,-0.005856,1.029192,0.140000,-1.960000,-0.350000
5383,-0.005856,-0.003904,1.027240,0.210000,-2.100000,-0.350000
5384,-0.005368,-0.004880,1.028216,0.140000,-1.960000,-0.210000
5385,-0.006832,-0.004880,1.028704,0.140000,-1.960000,-0.350000
5386,-0.008296,-0.004392,1.028216,0.210000,-2.030000,-0.280000
5387,-0.006344,-0.003416,1.027240,0.280000,-2.030000,-0.280000
