seq_num,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
2074,-0.011712,-0.010736,1.029192,0.140000,-2.100000,-0.350000
2075,-0.011712,-0.010736,1.028216,0.140000,-2.030000,-0.350000
2076,-0.011712,-0.011712,1.028704,0.140000,-2.030000,-0.420000
2077,-0.009760,-0.010736,1.028704,0.210000,-1.960000,-0.280000
2078,-0.011224,-0.009760,1.029192,0.210000,-2.030000,-0.280000
2079,-0.009760,-0.011224,1.028216,0.140000,-2.100000,-0.420000
2080,-0.010248,-0.011224,1.029680,0.140000,-2.100000,-0.420000
2081,-0.011224,-0.009760,1.030656,0.210000,-2.030000,-0.350000
2082,-0.010736,-0.010248,1.026752,0.140000,-2.100000,-0.350000
2083,-0.008784,-0.011224,1.030656,0.140000,-2.030000,-0.350000
2084,-0.008784,-0.009760,1.030168,0.140000,-1.960000,-0.350000
2085,-0.009760,-0.008784,1.029680,0.140000,-2.030000,-0.420000
2086,-0.011224,-0.010248,1.031632,0.210000,-2.030000,-0.350000
2087,-0.011224,-0.010248,1.027728,0.140000,-2.030000,-0.280000
2088,-0.010736,-0.009760,1.028216,0.140000,-2.030000,-0.350000
2089,-0.010736,-0.012200,1.029680,0.140000,-1.960000,-0.420000
2090,-0.010736,-0.011224,1.029680,0.140000,-2.030000,-0.350000
2091,-0.009272,-0.011224,1.029192,0.210000,-1.890000,-0.420000
2092,-0.008296,-0.011224,1.028704,0.210000,-2.100000,-0.420000
2093,-0.009272,-0.008296,1.030168,0.210000,-2.030000,-0.420000
2094,-0.010248,-0.008784,1.029192,0.210000,-2.030000,-0.280000
2095,-0.011712,-0.009272,1.029192,0.140000,-2.100000,-0.350000
2096,-0.010248,-0.010736,1.029192,0.140000,-2.100000,-0.420000
2097,-0.009272,-0.008784,1.029680,0.210000,-2.030000,-0.350000
2098,-0.008784,-0.011224,1.029680,0.140000,-2.030000,-0.350000
2099,-0.010736,-0.010248,1.030168,0.210000,-2.030000,-0.350000
2100,-0.012200,-0.009760,1.028216,0.210000,-2.030000,-0.420000
2101,-0.010736,-0.012200,1.029680,0.140000,-2.100000,-0.420000
2102,-0.010248,-0.011712,1.030168,0.210000,-1.960000,-0.280000
2103,-0.010736,-0.011712,1.028704,0.210000,-2.100000,-0.350000
2104,-0.011224,-0.009272,1.028704,0.140000,-2.030000,-0.420000
2105,-0.012688,-0.010736,1.029680,0.140000,-1.960000,-0.420000
2106,-0.012688,-0.008296,1.029680,0.140000,-2.030000,-0.350000
2107,-0.008784,-0.010248,1.029192,0.140000,-2.100000,-0.350000
2108,-0.010248,-0.008784,1.029680,0.140000,-2.030000,-0.350000
2109,-0.008296,-0.009760,1.030168,0.140000,-2.030000,-0.350000
2110,-0.008296,-0.008784,1.029192,0.210000,-2.100000,-0.350000
2111,-0.009272,-0.010248,1.027728,0.280000,-1.960000,-0.350000
2112,-0.009760,-0.009760,1.029192,0.070000,-2.030000,-0.280000
2113,-0.011224,-0.011224,1.028704,0.140000,-2.030000,-0.280000
